id,Ranking,Drzava,Ime,Starost,Turnirji
547,547,BRA,Fernando Romboli,27,24
548,548,GER,Tobias Simon,25,28
549,549,AUS,Greg Jones,27,13
550,550,CRO,Mate Delic,23,16
551,551,USA,Jared Hiltzik,22,18
552,552,ESP,Gerard Granollers,27,20
553,553,ITA,Adelchi Virgili,26,13
554,554,USA,Connor Smith,26,21
555,555,POR,Andre Gaspar Murta,22,23
556,556,JPN,Masato Shiga,25,25
557,557,USA,Rhyne Williams,25,12
558,558,USA,Ryan Shane,22,13
559,559,FRA,Fabien Reboul,21,17
560,560,BRA,Ricardo Hocevar,31,20
561,561,ITA,Omar Giacalone,24,27
562,562,NED,Miliaan Niesten,28,15
563,563,RUS,Anton Zaitcev,29,10
564,564,IND,N Vijay Sundar Prashanth,30,15
565,565,MEX,Lucas Gomez,21,26
566,566,KOR,Ji Sung Nam,23,10
567,567,ITA,Gianluca Naso,29,11
568,568,BRA,Jose Pereira,25,15
569,569,GER,Robin Kern,23,18
570,570,FRA,Alexis Musialek,28,23
571,571,ITA,Francesco Vilardo,27,27
572,572,BLR,Sergey Betov,29,8
573,573,USA,Thai-Son Kwiatkowski,21,11
574,574,SWE,Isak Arvidsson,24,14
575,575,ITA,Andrea Basso,23,16
576,576,CZE,Michal Schmid,28,29
577,577,BEL,Julien Cagnina,22,16
578,578,BEL,Jonas Merckx,23,22
579,579,MNE,Ljubomir Celebic,25,23
580,580,JPN,Kento Takeuchi,29,26
581,581,USA,Marcos Giron,23,7
582,582,COL,Cristian Rodriguez,26,16
583,583,POL,Pawel Cias,22,17
584,584,ROU,Nicolae Frunza,19,18
585,585,GER,Sami Reinwein,24,20
586,586,BEL,Michael Geerts,21,23
587,587,CHI,Cristobal Saavedra-Corvalan,26,33
588,588,AUS,Alex Bolt,23,6
589,589,URU,Martin Cuevas,24,11
590,590,POR,Joao Monteiro,23,12
591,591,UKR,Danylo Kalenichenko,22,19
592,592,RUS,Vitaly Kozyukov,22,23
593,593,ITA,Andrea Vavassori,21,24
594,594,RUS,Alexander Zhurbin,24,29
595,595,JPN,Yosuke Watanuki,18,5
596,596,DOM,Roberto Cid Subervi,23,7
597,597,CRO,Viktor Galovic,26,9
598,598,KOR,Yunseong Chung,18,21
599,599,USA,Evan Song,24,22
600,600,FRA,Jules Okala,19,23
601,601,BUL,Alexandar Lazarov,19,12
602,602,SVK,Patrik Fabian,22,24
603,603,ARG,Juan Pablo Ficovich,19,25
604,604,GBR,Daniel Cox,26,13
605,605,CHI,Alejandro Tabilo,19,21
606,606,JPN,Jumpei Yamasaki,19,22
607,607,GER,Jan Choinski,20,24
608,608,AUT,David Pichler,20,32
609,609,ITA,Roberto Marcora,27,11
610,610,CHN,Yan Bai,27,16
611,611,ISR,Bar Tzuf Botzer,22,20
612,612,SUI,Antoine Bellier,20,23
613,613,UKR,Vadym Ursu,20,24
614,614,CAN,Felix Auger-Aliassime,16,13
615,615,CHI,Juan Carlos Saez,25,18
616,616,GBR,Luke Bambridge,21,18
617,617,ESP,Carlos Gomez-Herrera,26,19
618,618,IND,Sidharth Rawat,23,21
619,619,BIH,Nerman Fatic,22,21
620,620,CZE,Pavel Nejedly,23,22
621,621,FRA,Mick Lescure,23,22
622,622,CHN,Fajing Sun,20,23
623,623,NOR,Viktor Durasovic,19,25
624,624,GER,Pascal Meis,23,26
625,625,CHI,Laslo Urrutia Fuentes,26,12
626,626,UKR,Artem Smirnov,28,14
627,627,AUT,Gibril Diarra,26,20
628,628,CHN,Chuhan Wang,24,20
629,629,ISR,Ben Patael,19,21
630,630,UKR,Marat Deviatiarov,22,24
631,631,CHN,Yecong He,22,28
632,632,KOR,Hong Chung,23,9
633,633,RUS,Victor Baluda,24,16
634,634,AUS,Daniel Nolan,19,25
635,635,ESP,Carlos Boluda-Purkiss,23,32
636,636,AUS,Lleyton Hewitt,35,1
637,637,FRA,Geoffrey Blancaneaux,18,18
638,638,PER,Juan Pablo Varillas,21,23
639,639,GER,Julian Reister,30,7
640,640,TPE,Cheng-Yu Yu,21,18
641,641,GBR,Neil Pauffley,26,19
642,642,FRA,Jordan Ubiergo,23,20
